State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Apr 13 2021,74590,69891,0
United States,Apr 12 2021,61515,68697,0
United States,Apr 11 2021,52547,68079,0
United States,Apr 10 2021,67891,66865,0
United States,Apr  9 2021,79071,66389,72
United States,Apr  8 2021,75202,64990,0
United States,Apr  7 2021,78425,64734,0
United States,Apr  6 2021,66230,63775,0
United States,Apr  5 2021,57189,63428,0
United States,Apr  4 2021,44049,63551,0
United States,Apr  3 2021,64558,64701,0
United States,Apr  2 2021,69281,64465,0
United States,Apr  1 2021,73407,65504,0
United States,Mar 31 2021,71712,64427,0
United States,Mar 30 2021,63805,63846,0
United States,Mar 29 2021,58048,63221,0
United States,Mar 28 2021,52098,61968,0
United States,Mar 27 2021,62905,60866,0
United States,Mar 26 2021,76556,60030,0
United States,Mar 25 2021,65871,57918,0
United States,Mar 24 2021,67641,57521,0
United States,Mar 23 2021,59428,56642,0
United States,Mar 22 2021,49278,55824,0
United States,Mar 21 2021,44389,55042,0
United States,Mar 20 2021,57048,54712,0
United States,Mar 19 2021,61774,54110,0
United States,Mar 18 2021,63095,54234,0
United States,Mar 17 2021,61487,53751,0
United States,Mar 16 2021,53701,53747,0
United States,Mar 15 2021,43802,53888,0
United States,Mar 14 2021,42079,53799,0
United States,Mar 13 2021,52834,53864,0
United States,Mar 12 2021,62646,54424,0
United States,Mar 11 2021,59714,54515,0
United States,Mar 10 2021,61456,55215,0
United States,Mar  9 2021,54685,55729,891
United States,Mar  8 2021,43181,55743,0
United States,Mar  7 2021,42538,56922,0
United States,Mar  6 2021,56752,57989,0
United States,Mar  5 2021,63283,59506,0
United States,Mar  4 2021,64614,60817,0
United States,Mar  3 2021,65051,61646,0
United States,Mar  2 2021,54783,62725,0
United States,Mar  1 2021,51434,65212,0
United States,Feb 28 2021,50010,65933,0
United States,Feb 27 2021,67368,66541,0
United States,Feb 26 2021,72465,66351,0
United States,Feb 25 2021,70411,66192,0
United States,Feb 24 2021,72605,65998,0
United States,Feb 23 2021,72192,64933,0
United States,Feb 22 2021,56482,63018,0
United States,Feb 21 2021,54266,63132,0
United States,Feb 20 2021,66040,64596,0
United States,Feb 19 2021,71349,67053,0
United States,Feb 18 2021,69056,70672,0
United States,Feb 17 2021,65150,74783,0
United States,Feb 16 2021,58788,79579,0
United States,Feb 15 2021,57275,84770,0
United States,Feb 14 2021,64520,88360,0
United States,Feb 13 2021,83238,91575,0
United States,Feb 12 2021,96679,95071,0
United States,Feb 11 2021,97832,98936,0
United States,Feb 10 2021,98725,102538,0
United States,Feb  9 2021,95126,104287,0
United States,Feb  8 2021,82406,107702,0
United States,Feb  7 2021,87022,114200,0
United States,Feb  6 2021,107711,117151,0
United States,Feb  5 2021,123730,121095,0
United States,Feb  4 2021,123046,126635,0
United States,Feb  3 2021,110968,131290,0
United States,Feb  2 2021,119037,138238,0
United States,Feb  1 2021,127892,143085,0
United States,Jan 31 2021,107679,144054,0
United States,Jan 30 2021,135317,148376,0
United States,Jan 29 2021,162507,152362,0
United States,Jan 28 2021,155633,155927,0
United States,Jan 27 2021,159604,160583,0
United States,Jan 26 2021,152965,165074,0
United States,Jan 25 2021,134678,165610,0
United States,Jan 24 2021,137928,167916,0
United States,Jan 23 2021,163220,173234,0
United States,Jan 22 2021,187464,180294,0
United States,Jan 21 2021,188223,187270,0
United States,Jan 20 2021,191046,192411,0
United States,Jan 19 2021,156712,197989,584
United States,Jan 18 2021,150824,207968,0
United States,Jan 17 2021,175155,215154,0
United States,Jan 16 2021,212639,220751,0
United States,Jan 15 2021,236297,226228,0
United States,Jan 14 2021,224209,234006,0
United States,Jan 13 2021,230090,240259,0
United States,Jan 12 2021,226568,244850,0
United States,Jan 11 2021,201121,249845,0
United States,Jan 10 2021,214337,246391,0
United States,Jan  9 2021,250980,244937,0
United States,Jan  8 2021,290742,240288,0
United States,Jan  7 2021,267976,230389,0
United States,Jan  6 2021,262230,225130,0
United States,Jan  5 2021,261529,222906,0
United States,Jan  4 2021,176947,217954,0
United States,Jan  3 2021,204160,218955,0
United States,Jan  2 2021,218437,212077,0
United States,Jan  1 2021,221448,201122,0
United States,Dec 31 2020,231161,191385,0
United States,Dec 30 2020,246663,187079,0
United States,Dec 29 2020,226862,184921,0
United States,Dec 28 2020,183960,182122,0
United States,Dec 27 2020,156008,181191,0
United States,Dec 26 2020,141757,184941,0
United States,Dec 25 2020,153284,193394,0
United States,Dec 24 2020,201020,204772,0
United States,Dec 23 2020,231561,211023,0
United States,Dec 22 2020,207264,212291,0
United States,Dec 21 2020,177448,212420,0
United States,Dec 20 2020,182253,214513,0
United States,Dec 19 2020,200932,213238,0
United States,Dec 18 2020,232929,215495,0
United States,Dec 17 2020,244780,217378,0
United States,Dec 16 2020,240434,212618,0
United States,Dec 15 2020,208167,209942,0
United States,Dec 14 2020,192097,213652,0
United States,Dec 13 2020,173327,212622,0
United States,Dec 12 2020,216737,212827,0
United States,Dec 11 2020,246107,211211,0
United States,Dec 10 2020,211460,208664,0
United States,Dec  9 2020,221701,210458,0
United States,Dec  8 2020,234139,209526,0
